YEAR,DAY,MONTH,HOLIDAY
2020,1,January,1
2020,20,January,1
2020,12,February,1
2020,17,February,1
2020,10,May,1
2020,25,May,1
2020,19,June,1
2020,21,June,1
2020,3,July,1
2020,4,July,1
2020,7,September,1
2020,12,October,1
2020,3,November,1
2020,11,November,1
2020,26,November,1
2020,24,December,1
2020,25,December,1
2021,1,January,1
2021,18,January,1
2021,12,February,1
2021,15,February,1
2021,9,May,1
2021,31,May,1
2021,19,June,1
2021,20,June,1
2021,4,July,1
2021,5,July,1
2021,6,September,1
2021,11,October,1
2021,2,November,1
2021,11,November,1
2021,25,November,1
2021,24,December,1
2021,25,December,1
2021,31,December,1
